file_name,tags,ratio
/home/yonah/Data/vt_report_pdf/d31ef2c140968a734654e7417ac31b9cfafc684f1e39b87b42c3d44222dc6c77.html,0,26 / 43
/home/yonah/Data/vt_report_pdf/4f5accd22f5333bdae7e5c16b82052ddf8de3e13614dcd28b1a02bb553ad62f7.html,0,11 / 44
/home/yonah/Data/vt_report_pdf/902cd4b34491fc6dfc7b1270baf5ed991159ed68cab0db05154a2b9124764bc2.html,0,21 / 43
/home/yonah/Data/vt_report_pdf/e4803473d82770821e28eefa003f64a56d1a8988e51d913620c6b76be23d8506.html,"['cve-2008-2551', 'pdf', 'exploit', 'autoaction']",20 / 46
/home/yonah/Data/vt_report_pdf/5cd88cf5fa3e8b028c55ed8d821b0365045d0d3982de9a757796ac59afc3f3aa.html,0,30 / 42
/home/yonah/Data/vt_report_pdf/e9ba0f94dc309ff3568af170dc3edffb1f17fb3b5e7a1836328f48d303747700.html,0,31 / 40
/home/yonah/Data/vt_report_pdf/c3579bb90b0615dbf932c151c440be0eff09f707ba51bf6e2870f434481b18c9.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",24 / 47
/home/yonah/Data/vt_report_pdf/09cdcdda89e95c75dba3c948a7a12333f528766babc5e41c7105f1bd1916678d.html,0,26 / 42
/home/yonah/Data/vt_report_pdf/ae61b5b15037e5c11cbde505bc7f6a1328ae770b643806d0673ad180bda43826.html,0,27 / 43
/home/yonah/Data/vt_report_pdf/1a838d3f55fdd3c2731601430fc69739b1207f32c0c34e49b14d367cdbd91d3d.html,"['js-embedded', 'exploit', 'autoaction', 'invalid-xref', 'pdf', 'acroform', 'cve-2010-2883']",38 / 56
/home/yonah/Data/vt_report_pdf/3742f12548bf38cbaf17e3bba6df466da6d75c81ab641d2621c6c34bb6328700.html,"['invalid-xref', 'acroform', 'pdf', 'js-embedded']",39 / 57
/home/yonah/Data/vt_report_pdf/8cc458b24d2c6bfb0066b34decc988e4f856306b3535395bdcbcf0e76e19cbbd.html,0, 6 / 42
/home/yonah/Data/vt_report_pdf/7630ee42458bc27d7639873d9345db37e48f649c20d18948ac92bad1e932e983.html,0,13 / 43
